brute,dp,bnb
928.21,222.944,5
5242.701,536.122,33.006
5364.11,474.14,29.004
5561.842,499.105,29.019
5254.888,474.1,29.005
5476.846,472.1,28.995
5255.714,485.307,29.005
5762.822,522.012,29.026
5175.226,490.849,38.007
5422.721,505.212,29.019
5282.252,498.117,29.005
5664.807,572.313,30.005
5242.618,535.259,30.007
5355.791,458.103,31.012
5643.047,563.156,29.013
5250.542,493.772,30.012
5550.927,511.551,33.013
5328.686,512.927,30.006
5544.851,520.145,30.992
5242.051,490.11,30.095
5531.483,511.415,31.025
5636.119,495.166,32.008
5461.51,512.173,29.005
5984.693,511.731,30.005
5467.268,588.097,32.005
5519.175,537.46,30.019
5600.465,470.106,29.005
5459.815,538.659,30.014
5528.637,497.012,33.008
5634.027,590.544,30.009
5415.572,500.699,35.974
5835.782,509.628,29.013
5620.975,507.985,33.006
5612.416,586.658,30.006
5303.892,518.106,31.01
5765.504,532.356,30.006
5694.847,499.323,31.009
5387.927,531.993,30.005
5327.138,507.858,30.017
5692.725,513.377,30.006
5597.373,509.175,31.496
5911.549,574.13,32.006
5577.223,506.107,27.001
5655.197,489.111,30.001
5352.342,539.941,44.334
5660.84,505.625,30.012
5461.334,519.468,33.345
5773.182,492.183,30.007
5753.528,539.116,32.006
5549.038,496.952,29.019
5778.035,502.615,33.007
5566.289,501.113,35.007
5483.871,527.683,30.014
5640.25,604.713,30.005
5726.699,457.105,32.008
5749.198,593.735,32.008
5421.21,480.108,32.015
5711.082,516.627,30.002
5468.747,501.704,33.008
5686.521,526.573,30.011
5659.186,467.104,30.014
6000.161,546.124,30.004
5781.189,522.075,30.006
5426.369,508.91,34.004
5983.146,510.103,29.005
5535.78,524.227,31.006
5717.403,541.823,39.884
5458.747,506.772,31.014
5678.055,535.786,35.008
5507.328,531.9,30.006
5919.036,498.619,29.002
6119.897,494.631,32.006
5622.483,518.108,29.004
5794.456,494.1,33.013
5666.481,511.115,33.008
5929.125,558.118,30.996
5904.893,496.445,31.005
5665.599,506.67,31.007
5967.014,511.408,29.007
5609.498,500.225,29.018
5753.402,522.905,30.006
5880.674,511.114,33.004
5637.426,506.921,30.027
5897.34,547.323,31.006
5813.084,503.828,31.014
5877.762,528.748,30
5469.401,524.853,31.012
5920.824,540.3,30.011
5769.509,492.111,29
5612.325,532.733,31.004
5824.326,529.12,29.998
6025.093,531.122,30.006
5685.809,486.104,34.008
5855.752,505.364,30.007
5692.788,660.49,32.998
5840.556,530.427,30.019
5618.424,500.105,31.008
5810.084,532.455,31.019
5879.72,645.278,39.008
6173.957,514.741,29.998
5718.118,537.626,30.012
5763.825,613.012,32.006
5503.067,507.615,31.005
6186.154,539.47,31.005
5955.628,577.25,32.01
5724.509,553.747,31.013
5744.686,527.62,31.005
6029.769,527.512,32.014
5949.035,514.902,36.087
