brute,dp,bnb
3920,53346,3288
3858,42826,3784
3914,51762,3584
3950,38402,3858
3790,57762,3656
3766,65730,3704
4128,60122,3832
4064,63738,3880
3994,63130,3130
3880,59674,3832
3760,54162,3154
3768,56410,4120
4186,65010,4192
3952,61466,3880
4042,59274,3336
4312,55338,3776
4010,63882,3384
3776,50994,3880
3760,38802,3728
3816,57602,3962
3850,59650,3750
3904,52602,3880
3826,62682,3906
3930,56658,3880
3792,63628,3410
3894,46170,3880
3906,47034,3704
4066,56490,3954
4384,46346,3458
4408,64482,3632
4120,56714,3880
4048,50466,4144
3840,55098,3954
4096,61314,3434
4032,67082,4120
3962,47754,3800
4154,67594,4400
4274,59938,3880
4304,59458,3384
4064,55186,4144
3680,52978,3800
4170,56666,4144
4280,51554,4144
4152,59162,3978
4304,54498,3978
3914,59226,3986
4154,44882,4506
4192,58938,3904
4042,63578,3928
3920,58314,3466
4090,46994,4170
4018,56762,4274
4336,59714,3704
4242,55602,3976
3830,54290,3928
